REFID,window,GC,hits
NZ_CP009617.1,"(0, 99)",39.0,252
NZ_CP009617.1,"(100, 199)",35.0,122
NZ_CP009617.1,"(200, 299)",30.0,125
NZ_CP009617.1,"(300, 399)",36.0,98
NZ_CP009617.1,"(400, 499)",43.0,89
NZ_CP009617.1,"(500, 599)",51.0,94
NZ_CP009617.1,"(600, 699)",48.0,94
NZ_CP009617.1,"(700, 799)",47.0,77
NZ_CP009617.1,"(800, 899)",47.0,59
NZ_CP009617.1,"(900, 999)",53.0,67
NZ_CP009617.1,"(1000, 1099)",47.0,56
NZ_CP009617.1,"(1100, 1199)",48.0,78
NZ_CP009617.1,"(1200, 1299)",50.0,77
NZ_CP009617.1,"(1300, 1399)",48.0,71
NZ_CP009617.1,"(1400, 1499)",41.0,66
NZ_CP009617.1,"(1500, 1599)",42.0,61
NZ_CP009617.1,"(1600, 1699)",49.0,70
NZ_CP009617.1,"(1700, 1799)",55.0,70
NZ_CP009617.1,"(1800, 1899)",49.0,62
NZ_CP009617.1,"(1900, 1999)",47.0,76
NZ_CP009617.1,"(2000, 2099)",53.0,75
NZ_CP009617.1,"(2100, 2199)",46.0,91
NZ_CP009617.1,"(2200, 2299)",48.0,75
NZ_CP009617.1,"(2300, 2399)",46.0,89
NZ_CP009617.1,"(2400, 2499)",42.0,90
NZ_CP009617.1,"(2500, 2599)",53.0,79
NZ_CP009617.1,"(2600, 2699)",36.0,84
NZ_CP009617.1,"(2700, 2799)",48.0,85
NZ_CP009617.1,"(2800, 2899)",54.0,85
NZ_CP009617.1,"(2900, 2999)",45.0,84
NZ_CP009617.1,"(3000, 3099)",47.0,73
NZ_CP009617.1,"(3100, 3199)",50.0,95
NZ_CP009617.1,"(3200, 3299)",52.0,83
NZ_CP009617.1,"(3300, 3399)",40.0,84
NZ_CP009617.1,"(3400, 3499)",49.0,96
NZ_CP009617.1,"(3500, 3599)",40.0,87
NZ_CP009617.1,"(3600, 3699)",51.0,105
NZ_CP009617.1,"(3700, 3799)",49.0,82
NZ_CP009617.1,"(3800, 3899)",53.0,87
NZ_CP009617.1,"(3900, 3999)",48.0,95
NZ_CP009617.1,"(4000, 4099)",53.0,103
NZ_CP009617.1,"(4100, 4199)",45.0,93
NZ_CP009617.1,"(4200, 4299)",53.0,97
NZ_CP009617.1,"(4300, 4399)",48.0,101
NZ_CP009617.1,"(4400, 4499)",49.0,85
NZ_CP009617.1,"(4500, 4599)",46.0,77
NZ_CP009617.1,"(4600, 4699)",36.0,82
NZ_CP009617.1,"(4700, 4799)",35.0,78
NZ_CP009617.1,"(4800, 4899)",48.0,85
NZ_CP009617.1,"(4900, 4999)",52.0,75
NZ_CP009617.1,"(5000, 5099)",53.0,67
NZ_CP009617.1,"(5100, 5199)",40.0,66
NZ_CP009617.1,"(5200, 5299)",47.0,87
NZ_CP009617.1,"(5300, 5399)",39.0,78
NZ_CP009617.1,"(5400, 5499)",41.0,79
NZ_CP009617.1,"(5500, 5599)",44.0,84
NZ_CP009617.1,"(5600, 5699)",47.0,91
NZ_CP009617.1,"(5700, 5799)",42.0,93
NZ_CP009617.1,"(5800, 5899)",46.0,89
NZ_CP009617.1,"(5900, 5999)",46.0,92
NZ_CP009617.1,"(6000, 6099)",34.0,98
NZ_CP009617.1,"(6100, 6199)",42.0,97
NZ_CP009617.1,"(6200, 6299)",46.0,76
NZ_CP009617.1,"(6300, 6399)",43.0,89
NZ_CP009617.1,"(6400, 6499)",40.0,104
NZ_CP009617.1,"(6500, 6599)",48.0,92
NZ_CP009617.1,"(6600, 6699)",49.0,83
NZ_CP009617.1,"(6700, 6799)",50.0,112
NZ_CP009617.1,"(6800, 6899)",45.0,77
NZ_CP009617.1,"(6900, 6999)",47.0,84
NZ_CP009617.1,"(7000, 7099)",47.0,103
NZ_CP009617.1,"(7100, 7199)",49.0,78
NZ_CP009617.1,"(7200, 7299)",40.0,77
NZ_CP009617.1,"(7300, 7399)",50.0,85
NZ_CP009617.1,"(7400, 7499)",49.0,80
NZ_CP009617.1,"(7500, 7599)",45.0,100
NZ_CP009617.1,"(7600, 7699)",53.0,79
NZ_CP009617.1,"(7700, 7799)",47.0,99
NZ_CP009617.1,"(7800, 7899)",47.0,90
NZ_CP009617.1,"(7900, 7999)",49.0,117
NZ_CP009617.1,"(8000, 8099)",43.0,111
NZ_CP009617.1,"(8100, 8199)",51.0,80
NZ_CP009617.1,"(8200, 8299)",49.0,83
NZ_CP009617.1,"(8300, 8399)",50.0,102
NZ_CP009617.1,"(8400, 8499)",43.0,94
NZ_CP009617.1,"(8500, 8599)",50.0,99
NZ_CP009617.1,"(8600, 8699)",49.0,92
NZ_CP009617.1,"(8700, 8799)",42.0,93
NZ_CP009617.1,"(8800, 8899)",45.0,82
NZ_CP009617.1,"(8900, 8999)",49.0,94
